column_or_row_name,BERVO Combination,BERVO Term,unit,definition,data_type,source_file,berdl_export_status,nonempty_value_count,sample_values,mapping_notes,proposed_bervo_term
Field program/cruise,"Identifier, Context = field program",BERVO:8000528,,Associated project of which the sample was collected for.,text,samples.csv,array_level_metadata,249,Watershed Function SFA,,
Collector/Chief Scientist,"Identifier, Context = collector",BERVO:8000528,,Name of the person(s) who collected the sample.,text,samples.csv,array_level_metadata,249,K. Dana Chadwick,,
Collection date,"Date, Context = collection",BERVO:8000239,,Date of collection of the sample collected.,date,samples.csv,used_in_berdl_data_table,249,2018-06-14T04:00:00Z | 2018-06-15T04:00:00Z | 2018-06-27T04:00:00Z | 2018-06-16T04:00:00Z | 2018-06-19T04:00:00Z,,
Depth in core max,"Depth, Context = core maximum",BERVO:8000069,meter,"Depth of core, maximum.",numeric,samples.csv,array_level_metadata,249,0.1,,
Depth scale,"Method, Context = depth scale",BERVO:8000303,,Scale associated with depth of sample collection.,text,samples.csv,redundant_to_typed_unit,249,meters,,
Country,Country,BERVO:8000398,,Country associated of sample collected.,text,samples.csv,array_level_metadata,249,United States,,
City/Township,"Region, Context = city",BERVO:8000519,,City or township associated with the sample.,text,samples.csv,array_level_metadata,249,Crested Butte,,
Current Archive,"Identifier, Context = archive",BERVO:8000528,,Current archive where the sample is held.,text,samples.csv,array_level_metadata,249,"Geosciences and Environmental Change Science Center, USGS Federal Center, Lakewood, CO",,
Current archive contact,"Identifier, Context = archive contact",BERVO:8000528,,Contact for the current sample archive.,text,samples.csv,array_level_metadata,249,"K. Dana Chadwick, kdc@stanford.edu",,
Description,"Comment, Context = sample description",BERVO:8000305,,Free-text description of the collected sample.,text,samples.csv,array_level_metadata,249,"Soil samples, 0-10 cm",,
Location description,"Location, Context = description",BERVO:8000394,,Description of the sample collection location.,text,samples.csv,used_in_berdl_data_table,249,RMBL Research Meadow | Pumphouse | Mt. Cinnamon | Snodgrass | Bradley,,
Material,Environmental material,BERVO:8000402,,Material of the collected sample.,text,samples.csv,array_level_metadata,249,Soil,,
State/Province,"Region, Context = state",BERVO:8000519,,State or province associated with the sample.,text,samples.csv,array_level_metadata,249,Colorado,,
